Statistical Division or Subdivision,LGA,Offence category,Subcategory,Jan 1995,Feb 1995,Mar 1995,Apr 1995,May 1995,Jun 1995,Jul 1995,Aug 1995,Sep 1995,Oct 1995,Nov 1995,Dec 1995
Inner Sydney,Botany Bay,Homicide,Murder (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Assault,Domestic violence related assault,3,7,5,1,3,4,8,8,2,8,6,10
Inner Sydney,Botany Bay,Assault,Non-domestic violence related assault,16,15,14,13,11,11,15,13,19,18,21,16
Inner Sydney,Botany Bay,Assault,Assault Police,0,2,1,1,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Sexual offences,Sexual assault,1,1,2,8,0,0,1,0,0,1,2,0
Inner Sydney,Botany Bay,Sexual offences,"Indecent assault, act of indecency and other sexual offences",1,2,8,9,0,1,8,5,1,0,1,1
Inner Sydney,Botany Bay,Abduction and kidnapping,,0,2,0,1,1,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Robbery,Robbery without a weapon,0,4,1,2,1,1,3,1,2,3,4,1
Inner Sydney,Botany Bay,Robbery,Robbery with a firearm,0,0,1,0,1,0,0,1,2,0,0,0
Inner Sydney,Botany Bay,Robbery,Robbery with a weapon not a firearm,0,1,2,1,1,1,2,3,0,0,2,3
Inner Sydney,Botany Bay,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,"Harassment, threatening behaviour and private nuisance",,2,2,5,9,5,10,7,2,8,9,5,5
Inner Sydney,Botany Bay,Other offences against the person,,0,0,3,1,1,0,4,1,0,0,0,0
Inner Sydney,Botany Bay,Theft,Break and enter dwelling,25,14,26,33,31,21,21,22,39,30,22,23
Inner Sydney,Botany Bay,Theft,Break and enter non-dwelling,22,20,27,19,15,17,29,19,19,32,25,33
Inner Sydney,Botany Bay,Theft,Receiving or handling stolen goods,4,3,3,6,2,5,5,8,1,10,0,3
Inner Sydney,Botany Bay,Theft,Motor vehicle theft,34,52,65,53,62,58,39,53,55,62,63,63
Inner Sydney,Botany Bay,Theft,Steal from motor vehicle,38,33,20,31,33,50,42,33,26,44,46,35
Inner Sydney,Botany Bay,Theft,Steal from retail store,13,11,22,26,25,25,26,20,33,28,27,24
Inner Sydney,Botany Bay,Theft,Steal from dwelling,10,8,10,8,10,14,7,10,6,8,8,12
Inner Sydney,Botany Bay,Theft,Steal from person,6,7,11,11,7,7,14,6,14,8,9,13
Inner Sydney,Botany Bay,Theft,Stock theft,0,1,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Theft,Fraud,23,13,9,8,11,9,15,14,37,8,10,9
Inner Sydney,Botany Bay,Theft,Other theft,37,27,38,36,41,51,29,42,31,39,40,39
Inner Sydney,Botany Bay,Arson,,0,1,0,2,1,1,0,1,0,3,1,2
Inner Sydney,Botany Bay,Malicious damage to property,,52,32,43,39,40,57,48,28,38,38,37,51
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of cocaine,0,0,0,0,1,0,1,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of narcotics,1,1,0,2,0,0,0,1,1,0,0,0
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of cannabis,7,9,4,2,5,3,4,5,3,1,3,1
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of amphetamines,2,1,1,0,0,5,1,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of ecstasy,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Possession and/or use of other drugs,0,0,0,0,0,0,1,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,2,0,1,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in cannabis",1,1,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in amphetamines",1,0,0,0,0,0,0,0,1,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Cultivating cannabis,2,1,0,2,0,0,0,0,1,0,1,0
Inner Sydney,Botany Bay,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Drug offences,Other drug offences,0,2,0,0,0,0,0,0,0,0,1,0
Inner Sydney,Botany Bay,Prohibited and regulated weapons offences,,3,4,1,2,1,6,2,1,2,5,2,1
Inner Sydney,Botany Bay,Disorderly conduct,Trespass,1,1,1,0,1,1,1,1,1,0,0,0
Inner Sydney,Botany Bay,Disorderly conduct,Offensive conduct,0,0,3,2,1,0,0,0,0,0,1,1
Inner Sydney,Botany Bay,Disorderly conduct,Offensive language,1,0,0,0,1,0,0,0,0,1,0,0
Inner Sydney,Botany Bay,Disorderly conduct,Criminal intent,1,0,0,0,1,0,1,1,1,0,0,0
Inner Sydney,Botany Bay,Betting and gaming offences,,0,1,0,1,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Liquor offences,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Pornography offences,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Prostitution offences,,0,0,1,0,0,1,0,0,0,0,0,0
Inner Sydney,Botany Bay,Against justice procedures,Escape custody,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Botany Bay,Against justice procedures,Breach Apprehended Violence Order,2,4,2,1,2,5,4,9,2,1,2,2
Inner Sydney,Botany Bay,Against justice procedures,Breach bail conditions,2,0,0,2,1,0,0,0,1,3,0,0
Inner Sydney,Botany Bay,Against justice procedures,Fail to appear,1,1,1,1,2,1,1,0,0,2,0,1
Inner Sydney,Botany Bay,Against justice procedures,Resist or hinder officer,0,1,1,1,1,0,1,0,1,0,1,1
Inner Sydney,Botany Bay,Against justice procedures,Other offences against justice procedures,2,0,2,0,4,0,0,0,2,1,1,1
Inner Sydney,Botany Bay,Transport regulatory offences,,0,0,0,0,0,0,0,1,0,0,1,0
Inner Sydney,Botany Bay,Other offences,,2,4,1,5,1,3,2,2,2,6,2,3
Inner Sydney,Leichhardt,Homicide,Murder (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Homicide,Attempted murder,0,0,0,0,0,0,0,0,0,2,0,1
Inner Sydney,Leichhardt,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Assault,Domestic violence related assault,3,4,5,4,4,3,4,6,8,6,5,8
Inner Sydney,Leichhardt,Assault,Non-domestic violence related assault,20,20,25,16,21,17,4,15,13,13,24,19
Inner Sydney,Leichhardt,Assault,Assault Police,0,0,4,0,2,0,0,0,0,2,0,0
Inner Sydney,Leichhardt,Sexual offences,Sexual assault,3,2,3,0,0,0,3,4,2,2,0,1
Inner Sydney,Leichhardt,Sexual offences,"Indecent assault, act of indecency and other sexual offences",3,1,3,1,2,3,2,2,3,3,2,4
Inner Sydney,Leichhardt,Abduction and kidnapping,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Robbery,Robbery without a weapon,3,2,1,3,5,0,3,3,2,0,5,3
Inner Sydney,Leichhardt,Robbery,Robbery with a firearm,2,2,2,0,1,0,1,0,1,2,1,0
Inner Sydney,Leichhardt,Robbery,Robbery with a weapon not a firearm,1,2,2,3,1,3,2,0,0,2,2,0
Inner Sydney,Leichhardt,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,"Harassment, threatening behaviour and private nuisance",,1,0,4,4,6,2,2,7,5,2,9,6
Inner Sydney,Leichhardt,Other offences against the person,,0,1,0,1,4,0,0,0,0,1,0,0
Inner Sydney,Leichhardt,Theft,Break and enter dwelling,71,65,55,38,36,40,41,71,109,103,71,96
Inner Sydney,Leichhardt,Theft,Break and enter non-dwelling,36,32,27,25,24,28,49,42,43,31,31,29
Inner Sydney,Leichhardt,Theft,Receiving or handling stolen goods,3,1,4,2,0,1,2,1,4,8,2,1
Inner Sydney,Leichhardt,Theft,Motor vehicle theft,59,46,56,47,84,72,64,76,84,78,91,73
Inner Sydney,Leichhardt,Theft,Steal from motor vehicle,73,68,77,62,67,93,103,93,136,133,156,125
Inner Sydney,Leichhardt,Theft,Steal from retail store,18,12,11,16,17,14,10,9,6,12,12,8
Inner Sydney,Leichhardt,Theft,Steal from dwelling,30,21,34,19,28,14,22,20,31,23,25,38
Inner Sydney,Leichhardt,Theft,Steal from person,17,10,6,10,17,8,10,10,9,15,21,13
Inner Sydney,Leichhardt,Theft,Stock theft,0,0,0,0,1,1,0,0,0,0,0,0
Inner Sydney,Leichhardt,Theft,Fraud,6,9,30,4,7,10,12,7,7,6,21,12
Inner Sydney,Leichhardt,Theft,Other theft,29,24,35,42,37,31,36,49,35,32,40,44
Inner Sydney,Leichhardt,Arson,,0,0,1,1,2,0,6,2,1,1,3,2
Inner Sydney,Leichhardt,Malicious damage to property,,53,53,69,58,53,59,73,52,80,54,63,51
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of cocaine,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of narcotics,0,0,0,0,0,0,0,0,1,0,0,0
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of cannabis,0,1,2,2,3,2,0,1,1,1,4,2
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of amphetamines,0,0,0,0,0,0,1,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of ecstasy,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,Possession and/or use of other drugs,1,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in narcotics",0,0,0,0,0,1,0,0,0,1,0,0
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in cannabis",0,1,1,1,0,0,0,0,1,0,1,0
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in amphetamines",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,Cultivating cannabis,0,0,1,1,1,0,0,0,3,1,2,1
Inner Sydney,Leichhardt,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Drug offences,Other drug offences,0,2,2,0,0,3,0,1,0,2,1,0
Inner Sydney,Leichhardt,Prohibited and regulated weapons offences,,2,1,0,1,0,0,0,1,0,4,0,0
Inner Sydney,Leichhardt,Disorderly conduct,Trespass,5,1,2,0,1,0,0,1,3,3,1,1
Inner Sydney,Leichhardt,Disorderly conduct,Offensive conduct,1,1,4,0,0,0,1,0,1,2,0,2
Inner Sydney,Leichhardt,Disorderly conduct,Offensive language,0,1,5,2,0,3,0,1,0,2,0,2
Inner Sydney,Leichhardt,Disorderly conduct,Criminal intent,2,1,6,2,1,1,3,3,1,6,2,1
Inner Sydney,Leichhardt,Betting and gaming offences,,0,0,0,0,0,1,0,0,0,0,0,0
Inner Sydney,Leichhardt,Liquor offences,,0,0,1,0,0,0,1,0,0,0,1,1
Inner Sydney,Leichhardt,Pornography offences,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Against justice procedures,Escape custody,0,0,0,1,0,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Against justice procedures,Breach Apprehended Violence Order,1,5,4,2,2,1,1,3,3,0,5,4
Inner Sydney,Leichhardt,Against justice procedures,Breach bail conditions,0,2,0,0,1,1,1,0,0,0,0,4
Inner Sydney,Leichhardt,Against justice procedures,Fail to appear,1,1,0,0,0,0,0,0,0,1,0,1
Inner Sydney,Leichhardt,Against justice procedures,Resist or hinder officer,0,0,4,0,2,2,0,0,0,1,1,0
Inner Sydney,Leichhardt,Against justice procedures,Other offences against justice procedures,0,1,0,2,0,1,0,0,2,2,3,2
Inner Sydney,Leichhardt,Transport regulatory offences,,0,0,0,1,1,0,0,0,0,0,0,0
Inner Sydney,Leichhardt,Other offences,,3,3,3,1,1,0,0,3,1,4,1,3
Inner Sydney,Marrickville,Homicide,Murder (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Homicide,Attempted murder,0,0,1,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Assault,Domestic violence related assault,17,9,13,14,13,11,10,8,3,19,12,11
Inner Sydney,Marrickville,Assault,Non-domestic violence related assault,50,41,44,26,43,32,39,31,36,46,36,58
Inner Sydney,Marrickville,Assault,Assault Police,2,1,1,1,1,0,1,0,2,0,3,0
Inner Sydney,Marrickville,Sexual offences,Sexual assault,0,2,2,2,4,4,3,2,0,3,4,5
Inner Sydney,Marrickville,Sexual offences,"Indecent assault, act of indecency and other sexual offences",8,6,11,2,7,8,5,2,2,5,9,6
Inner Sydney,Marrickville,Abduction and kidnapping,,1,0,0,0,0,0,0,1,0,1,1,0
Inner Sydney,Marrickville,Robbery,Robbery without a weapon,16,11,16,17,17,11,16,11,23,21,22,25
Inner Sydney,Marrickville,Robbery,Robbery with a firearm,3,5,6,1,2,3,0,1,0,1,6,2
Inner Sydney,Marrickville,Robbery,Robbery with a weapon not a firearm,6,3,4,4,5,7,4,9,7,5,11,9
Inner Sydney,Marrickville,Blackmail and extortion,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,"Harassment, threatening behaviour and private nuisance",,6,5,8,17,13,16,10,12,18,17,13,11
Inner Sydney,Marrickville,Other offences against the person,,3,1,4,2,2,1,4,2,3,2,3,6
Inner Sydney,Marrickville,Theft,Break and enter dwelling,103,85,103,99,98,68,89,127,157,141,118,160
Inner Sydney,Marrickville,Theft,Break and enter non-dwelling,55,51,37,40,52,31,42,42,35,65,35,41
Inner Sydney,Marrickville,Theft,Receiving or handling stolen goods,7,7,10,11,13,3,6,6,12,10,6,3
Inner Sydney,Marrickville,Theft,Motor vehicle theft,137,134,185,152,152,142,135,156,153,124,144,113
Inner Sydney,Marrickville,Theft,Steal from motor vehicle,118,105,120,84,114,125,118,131,153,182,175,170
Inner Sydney,Marrickville,Theft,Steal from retail store,15,22,34,26,41,25,27,24,22,20,39,26
Inner Sydney,Marrickville,Theft,Steal from dwelling,35,29,40,22,22,14,25,26,16,29,35,18
Inner Sydney,Marrickville,Theft,Steal from person,30,20,18,17,15,24,13,15,16,22,37,21
Inner Sydney,Marrickville,Theft,Stock theft,0,0,0,0,0,0,0,0,0,1,1,0
Inner Sydney,Marrickville,Theft,Fraud,13,12,12,9,14,23,43,25,12,10,30,15
Inner Sydney,Marrickville,Theft,Other theft,58,41,40,52,41,44,55,57,57,62,60,48
Inner Sydney,Marrickville,Arson,,1,5,4,2,2,1,4,8,10,7,4,9
Inner Sydney,Marrickville,Malicious damage to property,,100,89,106,74,97,74,103,98,104,76,67,111
Inner Sydney,Marrickville,Drug offences,Possession and/or use of cocaine,0,0,1,0,0,0,3,0,0,2,0,0
Inner Sydney,Marrickville,Drug offences,Possession and/or use of narcotics,0,1,2,0,1,0,0,2,5,3,3,1
Inner Sydney,Marrickville,Drug offences,Possession and/or use of cannabis,3,5,8,8,3,1,8,2,2,8,3,1
Inner Sydney,Marrickville,Drug offences,Possession and/or use of amphetamines,0,1,1,0,0,0,0,0,1,1,1,1
Inner Sydney,Marrickville,Drug offences,Possession and/or use of ecstasy,0,1,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Drug offences,Possession and/or use of other drugs,0,0,0,0,2,0,1,0,1,0,0,0
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in cocaine",0,0,0,0,0,0,1,0,0,0,0,0
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in narcotics",0,1,5,0,0,1,0,2,0,1,0,0
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in cannabis",1,0,3,0,2,0,3,2,0,1,0,1
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in amphetamines",0,0,0,0,0,0,0,0,0,5,0,0
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in ecstasy",0,1,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Drug offences,"Dealing, trafficking in other drugs",0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Drug offences,Cultivating cannabis,3,2,3,0,2,0,2,0,2,2,0,2
Inner Sydney,Marrickville,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Drug offences,Importing drugs,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Drug offences,Other drug offences,1,1,0,1,3,0,2,0,0,2,0,1
Inner Sydney,Marrickville,Prohibited and regulated weapons offences,,4,5,7,0,5,2,3,2,1,6,5,5
Inner Sydney,Marrickville,Disorderly conduct,Trespass,0,3,3,4,0,2,1,1,2,3,1,3
Inner Sydney,Marrickville,Disorderly conduct,Offensive conduct,0,3,2,0,0,2,0,1,2,1,1,2
Inner Sydney,Marrickville,Disorderly conduct,Offensive language,0,1,1,1,0,0,0,0,1,1,0,2
Inner Sydney,Marrickville,Disorderly conduct,Criminal intent,7,5,4,3,3,2,0,2,5,0,7,6
Inner Sydney,Marrickville,Betting and gaming offences,,0,0,0,0,0,0,0,0,0,2,0,0
Inner Sydney,Marrickville,Liquor offences,,0,1,2,0,0,0,1,0,0,0,0,1
Inner Sydney,Marrickville,Pornography offences,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Prostitution offences,,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Marrickville,Against justice procedures,Escape custody,0,0,1,0,0,0,1,0,0,1,0,2
Inner Sydney,Marrickville,Against justice procedures,Breach Apprehended Violence Order,3,2,4,3,3,3,3,2,4,3,2,9
Inner Sydney,Marrickville,Against justice procedures,Breach bail conditions,4,3,1,2,4,2,3,0,1,4,2,1
Inner Sydney,Marrickville,Against justice procedures,Fail to appear,2,3,0,0,2,1,0,2,1,6,3,1
Inner Sydney,Marrickville,Against justice procedures,Resist or hinder officer,3,2,3,0,1,5,1,0,2,1,2,2
Inner Sydney,Marrickville,Against justice procedures,Other offences against justice procedures,3,6,1,2,1,6,5,1,8,7,2,0
Inner Sydney,Marrickville,Transport regulatory offences,,1,0,0,0,0,0,2,2,3,1,1,1
Inner Sydney,Marrickville,Other offences,,14,9,10,4,5,5,9,3,4,11,6,1
Inner Sydney,Sydney,Homicide,Murder (a),0,1,2,1,0,2,1,1,1,0,1,3
Inner Sydney,Sydney,Homicide,Attempted murder,0,1,1,2,1,1,0,0,2,1,0,2
Inner Sydney,Sydney,Homicide,"Murder accessory, conspiracy",0,1,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Sydney,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Sydney,Assault,Domestic violence related assault,11,12,12,16,20,12,11,22,21,21,15,22
Inner Sydney,Sydney,Assault,Non-domestic violence related assault,286,248,260,220,203,184,198,220,223,250,252,281
Inner Sydney,Sydney,Assault,Assault Police,22,22,17,16,12,16,5,17,10,9,9,11
Inner Sydney,Sydney,Sexual offences,Sexual assault,6,10,16,5,7,7,7,5,13,12,21,6
Inner Sydney,Sydney,Sexual offences,"Indecent assault, act of indecency and other sexual offences",23,19,15,14,7,10,20,13,19,11,34,16
Inner Sydney,Sydney,Abduction and kidnapping,,0,1,2,0,2,3,0,2,0,0,1,1
Inner Sydney,Sydney,Robbery,Robbery without a weapon,158,112,79,86,71,64,94,77,94,108,85,99
Inner Sydney,Sydney,Robbery,Robbery with a firearm,6,7,5,1,6,4,2,3,5,2,4,7
Inner Sydney,Sydney,Robbery,Robbery with a weapon not a firearm,58,17,23,23,21,11,23,22,14,25,33,44
Inner Sydney,Sydney,Blackmail and extortion,,0,0,1,0,1,0,0,0,1,0,0,0
Inner Sydney,Sydney,"Harassment, threatening behaviour and private nuisance",,16,9,20,16,27,17,10,31,20,23,31,23
Inner Sydney,Sydney,Other offences against the person,,11,1,8,8,5,5,6,8,4,4,2,9
Inner Sydney,Sydney,Theft,Break and enter dwelling,180,126,136,107,170,167,148,166,227,169,123,189
Inner Sydney,Sydney,Theft,Break and enter non-dwelling,221,215,260,228,235,170,198,192,231,277,197,231
Inner Sydney,Sydney,Theft,Receiving or handling stolen goods,49,58,66,71,83,64,52,60,61,83,62,58
Inner Sydney,Sydney,Theft,Motor vehicle theft,362,331,367,303,282,244,268,290,313,331,335,303
Inner Sydney,Sydney,Theft,Steal from motor vehicle,569,529,481,455,385,373,422,449,584,681,643,598
Inner Sydney,Sydney,Theft,Steal from retail store,163,150,166,152,190,193,177,208,154,194,188,138
Inner Sydney,Sydney,Theft,Steal from dwelling,88,84,94,43,62,45,45,55,55,83,67,65
Inner Sydney,Sydney,Theft,Steal from person,262,179,195,169,203,208,219,202,209,250,232,252
Inner Sydney,Sydney,Theft,Stock theft,1,3,4,0,0,0,0,0,1,0,0,0
Inner Sydney,Sydney,Theft,Fraud,134,136,181,147,168,162,144,158,121,159,185,103
Inner Sydney,Sydney,Theft,Other theft,611,582,639,631,590,482,560,599,653,663,590,600
Inner Sydney,Sydney,Arson,,7,5,5,2,7,4,8,7,2,5,7,10
Inner Sydney,Sydney,Malicious damage to property,,300,343,349,305,460,296,241,252,301,329,295,301
Inner Sydney,Sydney,Drug offences,Possession and/or use of cocaine,4,5,8,10,10,3,10,11,5,1,6,5
Inner Sydney,Sydney,Drug offences,Possession and/or use of narcotics,18,12,20,16,20,19,11,13,17,19,14,8
Inner Sydney,Sydney,Drug offences,Possession and/or use of cannabis,26,15,45,38,34,34,28,25,28,34,34,30
Inner Sydney,Sydney,Drug offences,Possession and/or use of amphetamines,15,6,12,3,8,7,8,8,11,9,4,8
Inner Sydney,Sydney,Drug offences,Possession and/or use of ecstasy,1,0,2,2,1,0,3,1,0,6,4,1
Inner Sydney,Sydney,Drug offences,Possession and/or use of other drugs,3,9,4,3,5,1,0,4,2,2,1,2
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in cocaine",1,4,2,2,6,1,7,6,1,2,3,1
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in narcotics",1,6,6,6,9,8,8,11,9,3,6,6
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in cannabis",2,5,8,8,11,2,4,2,10,4,7,7
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in amphetamines",6,4,6,0,2,3,2,2,2,3,2,0
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in ecstasy",0,0,0,2,2,0,1,1,0,1,2,3
Inner Sydney,Sydney,Drug offences,"Dealing, trafficking in other drugs",1,0,0,2,2,1,0,0,1,0,0,1
Inner Sydney,Sydney,Drug offences,Cultivating cannabis,8,2,4,2,3,0,1,2,1,3,3,1
Inner Sydney,Sydney,Drug offences,Manufacture drug,0,0,0,0,0,0,0,0,0,0,0,0
Inner Sydney,Sydney,Drug offences,Importing drugs,1,0,0,1,0,0,0,0,0,0,0,0
Inner Sydney,Sydney,Drug offences,Other drug offences,5,3,11,3,15,8,4,6,10,4,7,12
Inner Sydney,Sydney,Prohibited and regulated weapons offences,,14,16,24,18,26,22,17,12,16,23,11,9
Inner Sydney,Sydney,Disorderly conduct,Trespass,15,13,7,10,6,14,12,10,12,11,6,19
Inner Sydney,Sydney,Disorderly conduct,Offensive conduct,21,27,26,19,20,17,24,30,12,16,12,17
Inner Sydney,Sydney,Disorderly conduct,Offensive language,23,33,32,25,24,21,12,13,18,15,16,20
Inner Sydney,Sydney,Disorderly conduct,Criminal intent,25,23,20,28,22,14,19,24,22,17,26,28
Inner Sydney,Sydney,Betting and gaming offences,,0,0,2,0,1,4,0,0,0,2,0,0
Inner Sydney,Sydney,Liquor offences,,15,24,21,13,17,6,7,10,13,8,26,26
Inner Sydney,Sydney,Pornography offences,,0,0,0,0,0,0,0,0,1,1,1,1
Inner Sydney,Sydney,Prostitution offences,,25,11,19,35,17,21,20,28,11,31,24,16
Inner Sydney,Sydney,Against justice procedures,Escape custody,6,2,3,3,6,0,1,2,0,2,5,2
Inner Sydney,Sydney,Against justice procedures,Breach Apprehended Violence Order,10,4,10,5,12,7,11,15,5,6,17,11
Inner Sydney,Sydney,Against justice procedures,Breach bail conditions,8,4,18,14,7,6,9,14,13,13,10,7
Inner Sydney,Sydney,Against justice procedures,Fail to appear,14,21,21,10,18,13,18,27,16,19,24,16
Inner Sydney,Sydney,Against justice procedures,Resist or hinder officer,47,46,33,27,28,18,23,21,17,10,21,20
Inner Sydney,Sydney,Against justice procedures,Other offences against justice procedures,51,76,72,75,82,54,59,74,71,55,69,49
Inner Sydney,Sydney,Transport regulatory offences,,5,11,15,6,16,8,10,11,5,5,2,8
Inner Sydney,Sydney,Other offences,,43,44,46,37,48,36,38,46,38,41,36,67
Eastern Suburbs,Randwick,Homicide,Murder (a),2,1,0,1,0,1,0,1,0,0,1,0
Eastern Suburbs,Randwick,Homicide,Attempted murder,0,0,0,2,0,0,0,0,0,0,0,0
Eastern Suburbs,Randwick,Homicide,"Murder accessory, conspiracy",0,0,0,0,0,0,0,0,0,0,0,0
Eastern Suburbs,Randwick,Homicide,Manslaughter (a),0,0,0,0,0,0,0,0,0,0,0,0
Eastern Suburbs,Randwick,Assault,Domestic violence related assault,6,4,7,10,9,6,5,6,11,18,21,11
Eastern Suburbs,Randwick,Assault,Non-domestic violence related assault,32,34,35,35,28,30,32,30,36,29,47,47
Eastern Suburbs,Randwick,Assault,Assault Police,1,3,2,1,5,1,0,0,3,2,0,1
Eastern Suburbs,Randwick,Sexual offences,Sexual assault,12,4,1,1,0,0,1,3,3,1,3,2
Eastern Suburbs,Randwick,Sexual offences,"Indecent assault, act of indecency and other sexual offences",9,5,5,3,1,8,3,14,10,8,5,6
Eastern Suburbs,Randwick,Abduction and kidnapping,,0,0,0,1,0,0,0,0,0,0,0,0
Eastern Suburbs,Randwick,Robbery,Robbery without a weapon,7,6,5,12,8,15,7,7,4,6,6,5
Eastern Suburbs,Randwick,Robbery,Robbery with a firearm,2,2,0,0,3,0,0,0,1,0,3,2
